1556650800000,407285,453
1556661600000,407285,449
1556672400000,407285,386
1556683200000,407285,273
1556694000000,407285,1095
1556704800000,407285,747
1556715600000,407285,654
1556726400000,407285,454
1556737200000,407285,1160
1556748000000,407285,1162
1556758800000,407285,1156
1556769600000,407285,1454
1556780400000,407285,7692
1556791200000,407285,5845
1556802000000,407285,8007
1556812800000,407285,3576
1556823600000,407285,1171
1556834400000,407285,1108
1556845200000,407285,912
1556856000000,407285,856
1556866800000,407285,4257
1556877600000,407285,2698
1556888400000,407285,2903
1556899200000,407285,1222
1556910000000,407285,286
1556920800000,407285,244
1556931600000,407285,318
1556942400000,407285,190
1556953200000,407285,1363
1556964000000,407285,775
1556974800000,407285,568
1556985600000,407285,172
1556996400000,407285,539
1557007200000,407285,875
1557018000000,407285,874
1557028800000,407285,893
1557039600000,407285,7713
1557050400000,407285,5861
1557061200000,407285,7398
1557072000000,407285,3094
1557082800000,407285,745
1557093600000,407285,685
1557104400000,407285,483
1557115200000,407285,498
1557126000000,407285,2839
1557136800000,407285,1863
1557147600000,407285,2641
1557158400000,407285,703
1557169200000,407285,318
1557180000000,407285,184
1557190800000,407285,182
1557201600000,407285,85
1557212400000,407285,7044
1557223200000,407285,7817
1557234000000,407285,9088
1557244800000,407285,3218
1557255600000,407285,1381
1557266400000,407285,712
1557277200000,407285,471
1557288000000,407285,666
1557298800000,407285,1075
1557309600000,407285,994
1557320400000,407285,351
1557331200000,407285,387
1557342000000,407285,1628
1557352800000,407285,674
1557363600000,407285,609
1557374400000,407285,352
1557385200000,407285,1144
1557396000000,407285,485
1557406800000,407285,283
1557417600000,407285,2138
1557428400000,407285,2007
