1557306000000,407285,339
1557309600000,407285,368
1557311400000,407285,116
1557313200000,407285,159
1557315000000,407285,230
1557318600000,407285,121
1557322200000,407285,184
1557324000000,407285,101
1557325800000,407285,20
1557327600000,407285,46
1557331200000,407285,88
1557340200000,407285,299
1557342000000,407285,334
1557343800000,407285,306
1557345600000,407285,335
1557347400000,407285,182
1557349200000,407285,202
1557351000000,407285,269
1557354600000,407285,334
1557356400000,407285,34
1557358200000,407285,100
1557360000000,407285,206
1557363600000,407285,224
1557365400000,407285,44
1557367200000,407285,15
1557369000000,407285,202
1557372600000,407285,124
1557374400000,407285,40
1557378000000,407285,163
1557381600000,407285,95
1557383400000,407285,54
1557385200000,407285,245
1557387000000,407285,31
1557388800000,407285,348
1557390600000,407285,28
1557392400000,407285,256
1557394200000,407285,236
1557397800000,407285,234
1557399600000,407285,188
1557403200000,407285,63
1557406800000,407285,127
1557410400000,407285,121
1557412200000,407285,35
1557419400000,407285,737
1557421200000,407285,402
1557423000000,407285,332
1557424800000,407285,335
1557426600000,407285,332
1557428400000,407285,336
1557430200000,407285,333
1557432000000,407285,335
1557433800000,407285,335
1557435600000,407285,333
1557437400000,407285,335
